backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
swin_tiny_patch4_window7_224,8,0.1028,94.0,98.44,0.9842,0.9993,4
swin_tiny_patch4_window7_224,9,0.1036,94.64,98.64,0.9862,0.9994,4
swin_tiny_patch4_window7_224,10,0.0926,94.63,98.84,0.9883,0.9994,4
swin_tiny_patch4_window7_224,11,0.0927,94.7,98.8,0.9879,0.9996,4
swin_tiny_patch4_window7_224,12,0.0857,95.36,98.88,0.9887,0.9996,4
swin_tiny_patch4_window7_224,13,0.0872,95.19,98.92,0.9891,0.9997,4
swin_tiny_patch4_window7_224,14,0.0882,95.21,98.72,0.9871,0.9997,4
swin_tiny_patch4_window7_224,15,0.0871,95.28,98.84,0.9883,0.9998,4
swin_tiny_patch4_window7_224,16,0.0811,95.73,98.84,0.9883,0.9996,4
swin_tiny_patch4_window7_224,17,0.0784,96.06,98.88,0.9887,0.9994,4
swin_tiny_patch4_window7_224,18,0.0816,95.99,98.92,0.9891,0.9996,4
swin_tiny_patch4_window7_224,19,0.0754,96.2,99.04,0.9902,0.9997,4
swin_tiny_patch4_window7_224,20,0.0708,96.47,98.96,0.9895,0.9996,4
swin_tiny_patch4_window7_224,21,0.0732,96.3,99.04,0.9903,0.9997,4
swin_tiny_patch4_window7_224,22,0.0688,96.93,99.08,0.9907,0.9997,4
swin_tiny_patch4_window7_224,23,0.0732,96.48,99.12,0.9911,0.9996,4
swin_tiny_patch4_window7_224,24,0.0674,96.59,99.12,0.9911,0.9996,4
swin_tiny_patch4_window7_224,25,0.0669,96.94,99.0,0.9899,0.9996,4
swin_tiny_patch4_window7_224,26,0.0682,97.02,99.04,0.9903,0.9996,4
swin_tiny_patch4_window7_224,27,0.0627,97.16,99.04,0.9902,0.9997,4
swin_tiny_patch4_window7_224,28,0.0644,97.57,99.08,0.9907,0.9996,4
swin_tiny_patch4_window7_224,29,0.0662,97.06,99.04,0.9903,0.9994,4
swin_tiny_patch4_window7_224,30,0.0617,97.52,99.04,0.9902,0.9994,4
